Standard (Theorised),Variable,Question,Factor 1,Factor 1 (raw),Factor 2,Factor 2 (raw),Factor 3,Factor 3 (raw),Factor 4,Factor 4 (raw),Factor 5,Factor 5 (raw),Factor 6,Factor 6 (raw),Factor 7,Factor 7 (raw),Factor 8,Factor 8 (raw),Primary Factor,Primary Loading,Communality,Heywood Case,Loads as Expected
Reducing Violence,violence_patients,Q13a: Physical violence from patients/public,,-0.08921033682375612,,0.12371227231010767,0.809079784767496,0.809079784767496,,-0.06096843197255383,,0.12391122700760862,,0.0027031777730174263,,-0.07550822702302494,,-0.011977944285367144,Factor 3,0.809079784767496,0.7027967211790155,,Yes
Reducing Violence,violence_managers,Q13b: Physical violence from managers,,-0.03222731123131209,,-0.09385061427120979,,-0.0077227003944622995,,-0.02895811660927446,0.9622448736068476,0.9622448736068476,,-0.04819291167306782,,0.015438717278476453,,0.020476841182638032,Factor 5,0.9622448736068476,0.9396401585414322,,Yes
Reducing Violence,violence_colleagues,Q13c: Physical violence from colleagues,,-0.1288646882321211,,-0.005750989079181661,,0.11077165910972346,,0.04281368492779097,0.7843077824218095,0.7843077824218095,,0.05202237161681334,,0.03545986121770326,,-0.0007467492087215663,Factor 5,0.7843077824218095,0.6498455379355814,,Yes
Reducing Violence,harassment_patients,Q14a: Harassment from patients/public,,0.008645677870952337,,0.038738255235400865,0.9500250896093418,0.9500250896093418,,-0.00040130545075544054,,-0.0034504174453625653,,0.09301505984609504,,-0.0014105848324013463,,-0.02484515069175489,Factor 3,0.9500250896093418,0.9134062100990193,,Yes
Reducing Violence,harassment_managers,Q14b: Harassment from managers,,0.08229830827823863,-0.3808316705279329,-0.3808316705279329,,-0.025472369646396653,,0.013712352055649005,,0.05805355247765598,,0.12937981797044462,0.6734265113982152,0.6734265113982152,,0.06541063296976415,Factor 7,0.6734265113982152,0.6305338124496738,,Yes
Reducing Violence,harassment_colleagues,Q14c: Harassment from colleagues,-0.47999386774879016,-0.47999386774879016,,0.16232941430608933,,0.014565442816913195,,0.03124746237338929,,0.017218540666467514,,0.1504223229529045,0.5700188900552166,0.5700188900552166,,0.07315315109383615,Factor 7,0.5700188900552166,0.6111297797745996,,Yes
Tackling Racism,fair_career_progression,Q15: Org acts fairly re career progression,,-0.24856622979353885,0.860693726465292,0.860693726465292,,0.09062661985276915,,-0.0016266131187484582,,-0.03601034730923791,-0.47297599825169273,-0.47297599825169273,,-0.07535617158633141,,0.06551530894618966,Factor 2,0.860693726465292,1.0457685398046421,YES,Yes
Tackling Racism,discrim_patients,Q16a: Discrimination from patients/public,,-0.02426008901687683,,-0.019527244732837276,0.585254838748593,0.585254838748593,,0.19065334508980356,,0.15900288072725105,0.4471803117448718,0.4471803117448718,,-0.09483760427686241,,-0.03916737503646086,Factor 3,0.585254838748593,0.6156221912225628,,Yes
Tackling Racism,discrim_colleagues,Q16b: Discrimination from manager/colleagues,,-0.11810251308293374,,-0.23938697789881047,,0.01975302741553807,,0.19210729432841175,,0.011489556288154516,0.6707894776592843,0.6707894776592843,,0.2596388045201471,,-0.08942697066612862,Factor 6,0.6707894776592843,0.6340497485475781,,Yes
Tackling Racism,org_respects_differences,Q21: Org respects individual differences,,0.06693829113286506,0.7097896865184294,0.7097896865184294,,0.010276593736267915,,0.1558680471942627,,0.04437016435879763,,-0.19844288240777777,,-0.1355199549557682,,-0.02533524239710905,Factor 2,0.7097896865184294,0.5930384121847593,,Yes
Sexual Safety,sexual_behaviour_patients,Q17a: Unwanted sexual behaviour from patients,,0.19677340384844275,,0.0364298687130322,1.1383543075760407,1.1383543075760407,,-0.1411829061432201,,-0.06838022967242711,,-0.09719275454936113,,-0.006844014482347419,,-0.031134319108354513,Factor 3,1.1383543075760407,1.3709685240680451,YES,Yes
Sexual Safety,sexual_behaviour_staff,Q17b: Unwanted sexual behaviour from staff,,-0.10265117583300354,,-0.015207326632930073,0.6562336111911233,0.6562336111911233,,-0.11102719814461874,,-0.009600433476823756,,-0.054588865738625154,0.3248601729576928,0.3248601729576928,,0.008881406801184303,Factor 3,0.6562336111911233,0.5624232418144485,,Yes
Flexible Working,satisfaction_flexible_working,Q4d: Satisfaction with flexible working,0.9052322717686346,0.9052322717686346,,-0.07498235140416015,,-0.1132677319248274,,-0.011738573024437668,,0.011476928583745537,,-0.020594266847070535,,0.08596027926676396,,-0.18254111147796798,Factor 1,0.9052322717686346,0.8793014627734616,,Yes
Flexible Working,org_committed_wlb,Q6b: Org committed to helping balance work/home,0.7342342940287057,0.7342342940287057,,0.2947481738817671,,-0.18265914717409562,,0.06078543414584073,,0.09064793734555585,,-0.004939105838090645,,0.09654928046787739,,-0.08387329728682913,Factor 1,0.7342342940287057,0.6876336544532478,,Yes
Flexible Working,manager_flexible_working,Q6d: Can approach manager about flexible working,1.058212700087108,1.058212700087108,,-0.045279713330241465,,0.05019614009741571,,-0.0667815821153353,,-0.010941339470716344,,-0.005167221796030399,,0.02120264673520945,,-0.05270040232729275,Factor 1,1.058212700087108,1.1322171009799626,YES,Yes
Line Management,mgr_interest_wellbeing,Q9d: Manager takes interest in wellbeing,1.0808832873473513,1.0808832873473513,,-0.030931780848345265,,0.07903796566102611,,-0.049700863584754326,,-0.059816489938452275,,0.05425721550150261,,-0.0005980153360264544,,0.09289792173623418,Factor 1,1.0808832873473513,1.1931348711779577,YES,Yes
Line Management,mgr_understanding_problems,Q9f: Manager works to understand problems,1.0472020749781723,1.0472020749781723,,-0.02807613109321259,,0.054058742082924174,,0.01728826534774075,,-0.028812869617407536,,0.079151135987873,,-0.037081151780943296,,0.12837964033734256,Factor 1,1.0472020749781723,1.1255931143443823,YES,Yes
Line Management,mgr_effective_action,Q9i: Manager takes effective action,0.9830432072140461,0.9830432072140461,,0.02157854266191407,,0.11415426661146609,,0.034608386162737315,,-0.018694510315118883,,0.042627121840322,,-0.1151175986744152,,0.08511532896738869,Factor 1,0.9830432072140461,1.0037317547135831,YES,Yes
Team Management,team_shared_objectives,Q7a: Team has shared objectives,,0.022720792220840468,0.7665892555441199,0.7665892555441199,,-0.06865269663708608,,0.10097538542468164,,0.0021614282668032045,,-0.11272172260517135,,0.14979336246389863,0.4890512878184027,0.4890512878184027,Factor 2,0.7665892555441199,0.8774046144063461,,Yes
Team Management,feel_valued_by_team,Q7h: I feel valued by my team,0.5878483890993693,0.5878483890993693,,0.1871626890796986,,-0.04515787400874609,,0.14383345877845588,,0.05183313963253213,,-0.20587737691426908,,-0.048934840882674184,0.3378448884366231,0.3378448884366231,Factor 1,0.5878483890993693,0.5649288541836636,,Yes
Appraisal,had_appraisal,Q23a: Had appraisal in last 12 months,,0.07271379170185531,0.7594835030956912,0.7594835030956912,,-0.1293844816899386,-0.5278474922369848,-0.5278474922369848,,0.029652446939098565,,0.13099476786831948,,-0.004926983291847987,,0.07157878704212212,Factor 2,0.7594835030956912,0.900652500878342,,Yes
Appraisal,appraisal_clear_objectives,Q23c: Appraisal helped agree clear objectives,,0.061746428668223365,,0.18926535342029266,,-0.18669025619060847,0.7620533836182231,0.7620533836182231,,0.025957959825340982,0.30113813781661614,0.30113813781661614,,0.014362791302069314,,0.030863726409009487,Factor 4,0.7620533836182231,0.7477294598068762,,Yes
Appraisal,appraisal_felt_valued,Q23d: Appraisal left feeling valued,,-0.02851882604145254,0.3793502703806572,0.3793502703806572,,-0.02191492916234365,0.7694649318835065,0.7694649318835065,,0.011823750542487244,,-0.08085267180130877,,0.035140482806087274,,0.09141336706006435,Factor 4,0.7694649318835065,0.7535447094187443,,Yes
Development,supported_develop_potential,Q24d: Feel supported to develop potential,,0.16240575371295646,0.8275771866448054,0.8275771866448054,,0.13568714542310234,,0.21448684776802288,,-0.08269327533601468,,0.10226829673269788,,0.010511163484560025,,0.05756962291521315,Factor 2,0.8275771866448054,0.7963969663353418,,Yes
Development,access_learning_dev,Q24e: Can access learning/development opportunities,,-0.18799680384732664,0.9443728372984165,0.9443728372984165,,0.15404082622636742,,0.1853199101470197,,-0.0695009274209664,,0.08748699053611508,,-0.015165745735295413,,0.030289363074248715,Factor 2,0.9443728372984165,0.998886697109865,,Yes
Supportive Env - Facilities,nutritious_food,Q22: Can eat nutritious/affordable food at work,0.4969348878385416,0.4969348878385416,,-0.09795220712133193,,-0.26604915931124384,,0.07105606292862403,,-0.05263039614544401,,-0.19949812399992503,,0.04560994912393782,,-0.07894809431255556,Factor 1,0.4969348878385416,0.3832525660127686,,Yes
Supportive Env - Wellbeing,org_positive_wellbeing,Q11a: Org takes positive action on wellbeing,0.33534545442236696,0.33534545442236696,0.641082178184203,0.641082178184203,,-0.06590615894187148,,0.09561729202912307,,0.04364245863191726,,-0.01080210368433158,,-0.03972907431180261,,-0.059889181039374254,Factor 2,0.641082178184203,0.5441156842992853,,Yes
